Timestamp,INDI_Outer.disturbance,INDI_Outer.disturbance_f,INDI_Outer.disturbance_a
65057,0.8174999952316284,0.8175040483474731,0.8175032138824463
65077,0.8174999952316284,0.8175038695335388,0.8175032138824463
65097,0.8174999952316284,0.8175039291381836,0.8175032138824463
65117,0.8174999952316284,0.8175041079521179,0.8175032138824463
65137,0.8174999952316284,0.8175040483474731,0.8175032138824463
65157,0.8174999952316284,0.8175038695335388,0.8175032138824463
65177,0.8174999952316284,0.8175039291381836,0.8175032138824463
65197,0.8174999952316284,0.8175041079521179,0.8175032138824463
65217,0.8174999952316284,0.8175040483474731,0.8175032138824463
65237,0.8174999952316284,0.8175038695335388,0.8175032138824463
65257,0.8174999952316284,0.8175039291381836,0.8175032138824463
65277,0.8174999952316284,0.8175041079521179,0.8175032138824463
65297,0.8174999952316284,0.8175040483474731,0.8175032138824463
65317,0.8174999952316284,0.8175038695335388,0.8175032138824463
65337,0.8174999952316284,0.8175039291381836,0.8175032138824463
65357,0.8174999952316284,0.8175041079521179,0.8175032138824463
65377,0.8174999952316284,0.8175040483474731,0.8175032138824463
65397,0.8174999952316284,0.8175038695335388,0.8175032138824463
65417,0.8174999952316284,0.8175039291381836,0.8175032138824463
65437,0.8174999952316284,0.8175041079521179,0.8175032138824463
65457,0.8174999952316284,0.8175040483474731,0.8175032138824463
65477,0.8174999952316284,0.8175038695335388,0.8175032138824463
65497,0.8174999952316284,0.8175039291381836,0.8175032138824463
65517,0.8174999952316284,0.8175041079521179,0.8175032138824463
65537,0.8174999952316284,0.8175040483474731,0.8175032138824463
65557,0.8174999952316284,0.8175038695335388,0.8175032138824463
65577,0.8174999952316284,0.8175039291381836,0.8175032138824463
65597,0.8174999952316284,0.8175041079521179,0.8175032138824463
65617,0.8174999952316284,0.8175040483474731,0.8175032138824463
65637,0.8174999952316284,0.8175038695335388,0.8175032138824463
65657,0.8174999952316284,0.8175039291381836,0.8175032138824463
65677,0.8174999952316284,0.8175041079521179,0.8175032138824463
65697,0.8174999952316284,0.8175040483474731,0.8175032138824463
65717,0.8174999952316284,0.8175038695335388,0.8175032138824463
